Yeticup Lake,-34.25,116.36667
Yerritup Creek,-33.76667,121.16667
Yerringerri Rockhole,-20.7,134.75
Yerrilyer Well,-27.41667,115.28333
Yerrida Spring,-25.86667,119.76667
Yerramudder Hill,-29.08333,119.1
Yerraminnup River,-34.25,116.45
Yerrakajerinna Pool,-23.46667,115.93333
Yerra Bluff,-21.75,116.16667
Yerniakka Rockhole,-19.63333,124.21667
Yeriminup Hill,-34.23333,117
Yerilla,-29.5,121.81667
Yerilgee Rockhole,-30.06667,119.98333
Yerila Creek,-29.63333,139.98333
Yerila,-29.78333,139.68333
Yeriecoola Swamp,-26.6,139.95
Yericoin,-30.93333,116.38333
Yerelina Creek,-29.75,138.75
Yerelina,-30.08333,139.15
Yerda Well,-31.08333,135
Yerdani Well,-31.18333,120.61667
Yerbillon,-31.38333,118.75
Yerawonyah Rockhole,-22.43333,121.48333
Yerapin Spring,-31.81667,117.93333
Yerangatup,-33.81667,122.38333
Yeo Hills,-28.1,124.41667
Yeo Hill,-26.18333,126.56667
Yeoh Hills,-29.21667,117.26667
Lake Yeo,-28.06667,124.38333
Lake Yenyening,-32.07154,117.3998
Yenyannig,-30.25,119.3
Yenteyerrup Swamp,-34.4,119.01667
Yenna Pool,-21.66667,117.53333
Yeneena Creek,-22.41667,121.68333
Yendinnup Swamp,-34.33333,118.98333
Yendicup Swamp,-34.16667,116.58333
Yendang Hill,-29.31667,120.3
Yenamber Well,-27.4,117.26667
Yelverton,-33.75,115.1
Yelvertoft,-20.21667,138.86667
Yeltukka,-34.16667,135.63333
Yeltanna Hill,-32.85,136.45
Yeltanna Bore,-32.86667,136.43333
Yeltacowie,-31.35,137.35
Yelta,-34.06667,137.6
Yelpawaralinna Hill,-27.1,138.68333
Yelma Soak,-26.46667,121.6
Yellow Waterhole Creek,-17.6,138.41667
Yellow Waterhole,-21.08333,139.05
Yellow Waterhole,-18.23333,133.88333
Yellow Waterhole,-16.8,132.21667
Yellow Waterhole,-16.4,132.7
Yellow Waterhole,-14.53333,134.76667
Yellowtail Rockhole,-30.51667,125.63333
Yellow Hole Bore,-20.4,137.98333
Yellow Hill,-23.1,113.8
Yellowdine,-31.3,119.65
Yellooginna Hill,-27.13333,131.6
Yellilup Swamp,-34.33333,119.03333
Yelleen Yard Pool,-17.71667,123.65
Yelleen Crossing,-17.7,123.65
Yellari Soak,-30.31667,117.83333
Yellanup Lake,-34.71667,117.93333
Yellagoodine,-18.46667,123.93333
Yelery Well,-27.65,116.81667
Yeleada Hill,-32.23333,138.93333
Yeldulknie Reservoir,-33.7,136.55
Yeldulknie Creek,-33.75,136.53333
Yelbeni,-31.18333,117.66667
Yegin Well,-20.05,119.16667
Yegin Pool,-20.06667,119.18333
Yeerim Soak,-18.61667,129.53333
Yeerakine Rock,-32.55,118.3
Yeeradgi Rockhole,-20.23333,134.43333
Yeelirrie,-27.28333,120.1
Yeelingee Pool,-22.93333,115.96667
Yeelarranna Pool,-21.78333,117.76667
Yeelanna,-34.15,135.73333
Yeela,-30.2,119.21667
Yeeding,-30.25,119.21667
Yeedie Bulgar,-29,119.63333
Yeeda River,-17.51667,123.63333
Yeeda,-17.61527,123.6468
Yednalue,-32.06667,138.63333
Yedlakoo Creek,-29.76667,137.43333
Yearlit Dam,-23.98333,114.58333
Yeardup Brook,-34.26667,116.23333
Yearawa Pool,-21.5,116.81667
Yeanilling Rock,-32.58333,117.2
Lake Yealering,-32.60071,117.6273
Yealering,-32.6,117.61667
Yeagerup,-34.53333,116.05
Yeadedegurra Soak,-23.41667,114.35
Yayoudle,-31.81667,126.05
Yawerlin Creek,-31.93333,118.31667
Yattalanga,-34.68333,138.76667
Yatina,-32.93333,138.66667
Yatheroo Well,-25.96667,116.91667
Yathalaw Pond,-21.83333,116.38333
The Yates,-33.48333,121.81667
Mount Yates,-33.9852,115.2682
