Country Name,IsCountry,Country Code,Region,Population Total,Population Density (people per sq. km of land area),Population Growth (%),Population Urban (% of total),Birth Rate (per 1000 people),Death Rate (per 1000 people),Life Expectancy (years),Migration,Literacy Rate (% of people ages 15+),Unemployment (% of labor force),Land Area (sq. km),GDP,GDP per Capita,GDP Growth (%),Trade (% of GDP),Debt Total,Debt per Captia,Debt per GDP (%),Internet Users,Internet Rate (per 100 people),Electricity Rate (% of population),Electricity Production (kWh),Electricity Coal (kWh),Electricity Water,Electricity Gas,Electricity Nuclear,Electricity Oil,Electricity Renewable,Emissions CO2 (kg per PPP $ of GDP),Roads Density (km of road per 100 sq. km),Roads Passengers (mln passenger-km),Air Passengers,Railways Passengers (mln passenger-km),Motor Vehicles (per 1000 people),Hospital Beds (per 1000 people),Telephone Lines (per 100 people),Mobile Phones (per 100 people),Armed Forces Rate (% of labor force),Armed Forces Total
Guam,no,GUM,Oceania,162810,295,0.52,93,17,4.77,78,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,
Guatemala,yes,GTM,North America,15082831,134,2.49,50,31,5.44,71,-75000,78,4.2,107000,50388454861,3341,2.87,61,16170000000,1216,42,273742,1.81,80,8146000000,1176000000,3245000000,,,1520000000,5450000000,0.115,14.8,,288000,,68,0.6,11.6,126,0.7,42300
Guinea,yes,GIN,Asia,11451273,44,2.63,36,37,12,55,-10000,,3.1,246000,5651088170,493,1.94,92,2652000000,305,68,700,0.01,,,,,,,,,0.0977,17.6,,,,,0.3,,37,0.26,12300
Guinea-Bissau,yes,GNB,Asia,1663558,56,2.28,45,38,13,54,-10000,57,7.5,28100,822320638,494,3.47,49,1095000000,722,259,,,,,,,,,,,0.123,,,,,,,0.3,43,0.91,6450
Guyana,yes,GUY,South America,795369,4,0.65,29,21,7.03,66,-32800,,21.7,197000,2851154076,3585,4.37,,1234000000,1049,42,29200,3.67,,,,,,,,,0.398,,,248000,,,,19.4,71,0.36,1100
Haiti,yes,HTI,North America,10173775,359,1.34,55,26,8.95,62,-175000,,7,27600,7890216508,776,-5.5,61,854700000,36,5,,,20,718000000,,120000000,,,567000000,151000000,0.144,,,,,,,0.49,40,0,50
Heavily indebted poor countries (HIPC),no,HPC,,655971763,32,2.73,32,38,10.9,57,-3310000,,6.09,19800000,5.28E+11,806,5.47,72,,,,790656,0.12,28,1.40E+11,186000000,70870000000,15086000000,,13621000000,72494000000,0.126,,,18100000,,,,1.09,37,0.62,1640000
High income,no,HIC,,1299489520,25,0.61,80,12,8.89,79,16900000,,7.76,51300000,4.99E+13,38390,3.01,61,,,,342829251,26.3,,1.22E+13,3.82E+12,1.48E+12,3.30E+12,2.28E+12,4.12E+11,2.16E+12,0.316,35,82300,1880000000,6910,606,,43.3,115,1.07,7100000
High income: nonOECD,no,NOC,,249927994,12,0.96,77,14,10.5,72,4240000,,5.73,19800000,5.18E+12,20735,6.33,145,,,,37402312,15,,2.04E+12,3.21E+11,1.84E+11,9.39E+11,2.15E+11,1.64E+11,1.91E+11,0.423,7.69,,254000000,,,,31.8,158,1.82,2320000
High income: OECD,no,OEC,,1049561526,33,0.52,81,11,8.51,80,12700000,,8.21,31500000,4.47E+13,42627,2.76,56,,,,305426939,29,,1.02E+13,3.50E+12,1.30E+12,2.36E+12,2.06E+12,2.48E+11,1.96E+12,0.298,56,102000,1630000000,7640,623,4.2,46.1,105,0.91,4780000
Honduras,yes,HND,North America,7935846,68,2.01,53,26,4.91,73,-50000,85,4.8,112000,18564264545,2339,3.73,121,4884000000,465,23,61277,0.77,80,7126000000,126000000,2815000000,,,3901000000,3099000000,0.254,,,422000,,,0.7,7.69,125,0.63,20000
Hong Kong,yes,HKG,Asia,7154600,6740,0.73,100,13,6,83,150000,,3.3,1040,2.63E+11,36708,6.77,450,1.05E+12,105420,334,2228147,31.2,,39030000000,27781000000,,11132000000,,115000000,2000000,0.109,190,,32200000,,77,,61.3,196,,
Hungary,yes,HUN,Europe,9920362,110,-0.23,70,9,13,74,75000,99,10.9,90500,1.25E+11,12560,1.26,,2.02E+11,14821,115,2281089,22.9,,35983000000,6573000000,222000000,10738000000,15685000000,144000000,2708000000,0.239,215,72000,12300000,5890,345,7.2,29.7,120,0.88,38500
Iceland,yes,ISL,Europe,320716,3,-0.14,94,14,6.4,82,5430,,6,100000,13586213061,42362,-4.1,113,1.16E+11,362942,999,111644,34.3,,17211000000,,12507000000,,,2000000,17209000000,0.168,12.5,5400,2400000,,745,,55.2,107,0.1,180
India,yes,IND,Asia,1236686732,405,1.29,32,21,7.97,66,-2290000,,3.4,2970000,1.86E+12,1503,10.3,55,3.76E+11,240,20,14980000,1.21,75,1.05E+12,7.15E+11,1.31E+11,1.09E+11,33286000000,12223000000,1.83E+11,0.366,139,,72200000,979000,,0.7,2.49,62,0.56,2730000
Indonesia,yes,IDN,Asia,246864191,133,1.33,51,19,6.32,70,-700000,,6.6,1810000,8.77E+11,3551,6.22,50,2.51E+11,837,28,2983000,1.21,73,1.82E+11,81000000000,12419000000,37090000000,,42305000000,21989000000,0.229,25.6,,79400000,20300,66,,15.4,88,0.57,677000
Iran,yes,IRN,Asia,76424443,46,1.24,69,19,5.27,73,-300000,84,13.1,1630000,5.03E+11,6578,5.89,,9452000000,170,4,3076154,4.03,98,2.40E+11,425000000,12058000000,1.60E+11,359000000,66633000000,12277000000,0.498,11.4,,17700000,17200,,,37.6,73,2.15,563000
Iraq,yes,IRQ,Asia,32578209,71,2.65,67,31,5.46,69,450000,79,15.1,434000,2.16E+11,6625,6.9,74,50268000000,1641,64,,,98,54240000000,,4140000000,33675000000,,6972000000,4140000000,0.296,9.58,,785000,100,,,5.71,75,9.81,802000
Ireland,yes,IRL,Europe,4586897,66,0.55,63,16,6.1,81,50000,,14.7,68900,2.11E+11,45922,-1.06,191,2.16E+12,512083,1008.2,1039624,22.7,,27655000000,4700000000,707000000,14890000000,,417000000,5425000000,0.213,137,52900,92600000,1580,500,2.9,43.9,105,0.43,9350
Isle of Man,no,IMY,Europe,85284,147,0.84,51,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,yes,ISR,Asia,7910500,352,1.83,92,22,5.2,82,-76000,,6.9,21600,2.58E+11,32567,5.66,72,94034000000,12070,42,1937000,25.3,100,59645000000,35191000000,28000000,19748000000,,4359000000,267000000,0.324,83.7,,5380000,1930,322,3.37,47,123,5.05,185000
Italy,yes,ITA,Europe,59539717,202,0.31,69,9,9.6,82,900000,99,10.7,294000,2.01E+12,33814,1.72,59,2.46E+12,36841,108,13483000,22.1,,3.01E+11,50139000000,45823000000,1.45E+11,,19885000000,82962000000,0.204,,804000,31100000,38700,679,3.4,35.6,155,1.43,360000
Jamaica,yes,JAM,North America,2707805,248,0.35,52,15,7.99,73,-80000,87,13.7,10800,14794802081,5464,-1.48,83,14600000000,4660,92,123046,4.44,92,5141000000,,101000000,,,4720000000,421000000,0.324,201,,,,181,,9.14,116,0.23,2830
