eqid,lon,region,depth,src,nst,version,datetime,lat,magnitude
10054846,-157.220300000000000,Alaska Peninsula,0.100000000000000,ak,12,1,Sun Jun 13 00:00:00 -0400 2010,58.152500000000000,3.100000000000000
10054794,-156.705600000000000,Alaska Peninsula,13.300000000000000,ak,118,1,Sun Jun 13 00:00:00 -0400 2010,58.095799999999900,4.900000000000000
10042591,-152.539199999999000,Southern Alaska,83.900000000000000,ak,98,4,Thu Apr 08 00:00:00 -0400 2010,59.822800000000000,3.900000000000000
10054867,-149.412100000000000,Central Alaska,7.200000000000000,ak,83,1,Sun Jun 13 00:00:00 -0400 2010,62.180100000000000,3.900000000000000
10071733,-157.937800000000000,northern Alaska,55.200000000000000,ak,15,1,Wed Dec 31 19:00:00 -0500 1969,66.570499999999900,3.100000000000000
10043488,-173.308999999999000,"Andreanof Islands, Aleutian Islands, Alaska",89.299999999999900,ak,17,3,Tue Apr 13 00:00:00 -0400 2010,52.116500000000000,3.200000000000000
10054674,-150.556800000000000,Southern Alaska,56.799999999999900,ak,68,1,Sat Jun 12 00:00:00 -0400 2010,61.527299999999900,3.800000000000000
10043487,-173.300500000000000,"Andreanof Islands, Aleutian Islands, Alaska",89.500000000000000,ak,17,3,Tue Apr 13 00:00:00 -0400 2010,52.094099999999900,3.300000000000000
10071738,-153.230300000000000,Southern Alaska,142.699999999999000,ak,72,2,Wed Dec 31 19:00:00 -0500 1969,59.967399999999900,4.800000000000000
10054489,-148.966900000000000,Central Alaska,11.300000000000000,ak,38,1,Fri Jun 11 00:00:00 -0400 2010,64.084999999999900,3.100000000000000
10071541,-147.289199999999000,Southern Alaska,33.200000000000000,ak,52,1,Fri Aug 13 00:00:00 -0400 2010,61.979199999999900,3.300000000000000
10055086,-150.145299999999000,northern Alaska,0.300000000000000,ak,20,1,Mon Jun 14 00:00:00 -0400 2010,65.471699999999900,3.000000000000000
10055066,-153.088300000000000,Southern Alaska,94.700000000000000,ak,66,1,Mon Jun 14 00:00:00 -0400 2010,59.791100000000000,3.300000000000000
10073981,-150.460299999999000,Southern Alaska,41.899999999999900,ak,77,2,Wed Aug 25 00:00:00 -0400 2010,61.150900000000000,3.600000000000000
10054907,-147.490299999999000,Central Alaska,85.000000000000000,ak,63,2,Mon Jun 14 00:00:00 -0400 2010,63.592100000000000,3.500000000000000
10053757,-151.181000000000000,Central Alaska,1.400000000000000,ak,50,1,Tue Jun 08 00:00:00 -0400 2010,63.377899999999900,3.200000000000000
10071523,-150.541899999999000,Central Alaska,85.799999999999900,ak,69,2,Fri Aug 13 00:00:00 -0400 2010,62.902799999999900,3.500000000000000
10055220,-148.838600000000000,Central Alaska,41.200000000000000,ak,51,2,Tue Jun 15 00:00:00 -0400 2010,62.598300000000000,4.300000000000000
10055316,-157.433099999999000,northern Alaska,10.000000000000000,ak,24,2,Tue Jun 15 00:00:00 -0400 2010,66.355599999999900,3.600000000000000
10071153,-154.170199999999000,"Kodiak Island region, Alaska",34.500000000000000,ak,31,1,Thu Aug 12 00:00:00 -0400 2010,57.295400000000000,3.500000000000000
10071201,-153.120900000000000,Southern Alaska,112.599999999999000,ak,65,1,Thu Aug 12 00:00:00 -0400 2010,59.952800000000000,3.000000000000000
10053310,-152.117700000000000,Southern Alaska,83.599999999999900,ak,74,2,Fri Jun 04 00:00:00 -0400 2010,60.495300000000000,4.000000000000000
10055514,-150.018200000000000,Southern Alaska,8.800000000000000,ak,45,1,Wed Jun 16 00:00:00 -0400 2010,61.896799999999900,3.000000000000000
10070844,-150.049100000000000,Central Alaska,6.300000000000000,ak,27,1,Wed Aug 11 00:00:00 -0400 2010,64.172300000000000,3.300000000000000
10053140,-146.877999999999000,Central Alaska,19.399999999999900,ak,34,1,Thu Jun 03 00:00:00 -0400 2010,63.636000000000000,3.100000000000000
10053162,-153.580600000000000,Southern Alaska,128.900000000000000,ak,66,1,Thu Jun 03 00:00:00 -0400 2010,59.798800000000000,3.300000000000000
10055360,-144.922599999999000,northern Alaska,17.199999999999900,ak,29,2,Wed Jun 16 00:00:00 -0400 2010,66.370300000000000,3.900000000000000
10055518,-155.832099999999000,Alaska Peninsula,16.699999999999900,ak,28,1,Wed Jun 16 00:00:00 -0400 2010,58.281799999999900,3.700000000000000
10055437,-149.724099999999000,Southern Alaska,14.600000000000000,ak,51,1,Wed Jun 16 00:00:00 -0400 2010,61.601999999999900,3.100000000000000
10055577,-148.274900000000000,northern Alaska,11.000000000000000,ak,15,1,Thu Jun 17 00:00:00 -0400 2010,66.045599999999900,3.200000000000000
10071916,-152.412599999999000,Southern Alaska,99.900000000000000,ak,50,1,Sun Aug 15 00:00:00 -0400 2010,60.281100000000000,3.100000000000000
10074059,-169.451099999999000,"Fox Islands, Aleutian Islands, Alaska",0.000000000000000,ak,14,2,Wed Aug 25 00:00:00 -0400 2010,52.894799999999900,3.100000000000000
10046403,-153.783999999999000,"Kodiak Island region, Alaska",45.799999999999900,ak,53,1,Thu Apr 29 00:00:00 -0400 2010,57.359000000000000,3.300000000000000
10070869,-152.737699999999000,"Kodiak Island region, Alaska",60.100000000000000,ak,85,1,Wed Aug 11 00:00:00 -0400 2010,58.867899999999900,3.600000000000000
10055552,-177.477000000000000,"Andreanof Islands, Aleutian Islands, Alaska",41.500000000000000,ak,24,2,Thu Jun 17 00:00:00 -0400 2010,51.407400000000000,3.900000000000000
10052682,-150.608499999999000,Central Alaska,116.299999999999000,ak,16,2,Tue Jun 01 00:00:00 -0400 2010,63.191800000000000,4.200000000000000
