Exchange,Symbol,Name,MarketCap,IPO,Sector,Industry
NYSE,LTM,LATAM Airlines Group S.A.,7.91B,N/A,Transportation,Air Freight/Delivery Services
NYSE,LDF,Latin American Discovery Fund Inc. (The),69.9M,N/A,N/A,N/A
NYSE,LGI,Lazard Global Total Return and Income Fund,178.47M,2004,N/A,N/A
NYSE,LAZ,Lazard Ltd.,6.54B,2005,Finance,Investment Managers
NYSE,LOR,Lazard World Dividend & Income Fund Inc.,76.51M,2005,N/A,N/A
NYSE,LZB,La-Z-Boy Incorporated,1.48B,N/A,Consumer Durables,Home Furnishings
NYSE,LCII,LCI Industries ,2.27B,N/A,Capital Goods,Auto Parts:O.E.M.
NYSE,LFGR,Leaf Group Ltd.,246.29M,N/A,Technology,EDP Services
NYSE,LEA,Lear Corporation,13.29B,N/A,Capital Goods,Auto Parts:O.E.M.
NYSE,LEE,Lee Enterprises Inc.orporated,139.75M,N/A,Consumer Services,Newspapers/Magazines
NYSE,LGC,Legacy Acquisition Corp.,361.13M,2017,Finance,Business Services
NYSE,LGC.U,Legacy Acquisition Corp.,N/A,2017,N/A,N/A
NYSE,LGC.WS,Legacy Acquisition Corp.,N/A,N/A,N/A,N/A
NYSE,LM,Legg Mason Inc.,3.3B,N/A,Finance,Investment Managers
NYSE,LMHA,Legg Mason Inc.,N/A,2016,Finance,Investment Managers
NYSE,LMHB,Legg Mason Inc.,N/A,2016,Finance,Investment Managers
NYSE,LEG,Leggett & Platt Inc.orporated,5.47B,N/A,Consumer Durables,Home Furnishings
NYSE,JBK,Lehman ABS Corporation,N/A,N/A,Finance,Finance: Consumer Services
NYSE,KTH,Lehman ABS Corporation,N/A,N/A,Finance,Finance: Consumer Services
NYSE,KTN,Lehman ABS Corporation,N/A,N/A,Finance,Finance: Consumer Services
NYSE,KTP,Lehman ABS Corporation,N/A,N/A,Finance,Finance: Consumer Services
NYSE,LDOS,Leidos Holdings Inc.,9.2B,N/A,Technology,EDP Services
NYSE,LEJU,Leju Holdings Limited,164.27M,2014,Finance,Real Estate
NYSE,LC,LendingClub Corporation,1.38B,2014,Miscellaneous,Business Services
NYSE,LEN,Lennar Corporation,17.02B,N/A,Basic Industries,Homebuilding
NYSE,LEN.B,Lennar Corporation,N/A,N/A,Basic Industries,Homebuilding
NYSE,LII,Lennox International Inc.,8.49B,1999,Capital Goods,Industrial Machinery/Components
NYSE,LHC,Leo Holdings Corp.,240.25M,2018,Finance,Business Services
NYSE,LHC.U,Leo Holdings Corp.,N/A,2018,N/A,N/A
NYSE,LHC.WS,Leo Holdings Corp.,N/A,N/A,N/A,N/A
NYSE,LXP,Lexington Realty Trust,2.01B,N/A,N/A,N/A
