Exchange,Symbol,Name,MarketCap,IPO,Sector,Industry
NASDAQ,PIH,1347 Property Insurance Holdings Inc.,45.48M,2014,Finance,Property-Casualty Insurers
NASDAQ,PIHPP,1347 Property Insurance Holdings Inc.,N/A,N/A,Finance,Property-Casualty Insurers
NASDAQ,TURN,180 Degree Capital Corp.,68.16M,N/A,Finance,Finance/Investors Services
NASDAQ,FLWS,1-800 FLOWERS.COM Inc.,833.39M,1999,Consumer Services,Other Specialty Stores
NASDAQ,FCCY,1st Constitution Bancorp (NJ),177.31M,N/A,Finance,Savings Institutions
NASDAQ,SRCE,1st Source Corporation,1.4B,N/A,Finance,Major Banks
NASDAQ,VNET,21Vianet Group Inc.,895.61M,2011,Technology,Computer Software: Programming & Data Processing
NASDAQ,TWOU,2U Inc.,4.77B,2014,Technology,Computer Software: Prepackaged Software
NASDAQ,JOBS,51job Inc.,6.55B,2004,Technology,Diversified Commercial Services
NASDAQ,CAFD,8point3 Energy Partners LP,964.15M,2015,Public Utilities,Electric Utilities: Central
NASDAQ,EGHT,8x8 Inc,2B,N/A,Public Utilities,Telecommunications Equipment
NASDAQ,AVHI,A V Homes Inc.,396.68M,N/A,Capital Goods,Homebuilding
NASDAQ,SHLM,A. Schulman Inc.,1.31B,1972,Basic Industries,Major Chemicals
NASDAQ,AAON,AAON Inc.,1.63B,N/A,Capital Goods,Industrial Machinery/Components
NASDAQ,ABAX,ABAXIS Inc.,1.9B,1992,Capital Goods,Industrial Machinery/Components
NASDAQ,ABEO,Abeona Therapeutics Inc.,756.88M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ABEOW,Abeona Therapeutics Inc.,N/A,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ABIL,Ability Inc.,6.29M,2014,Consumer Durables,Telecommunications Equipment
NASDAQ,ABMD,ABIOMED Inc.,17.56B,N/A,Health Care,Medical/Dental Instruments
NASDAQ,ABLX,Ablynx NV,4.11B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ABP,Abpro Corporation,N/A,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AXAS,Abraxas Petroleum Corporation,497.22M,N/A,Energy,Oil & Gas Production
NASDAQ,ACIU,AC Immune SA,596.9M,2016,Health Care,Major Pharmaceuticals
NASDAQ,ACIA,Acacia Communications Inc.,1.3B,2016,Technology,Semiconductors
NASDAQ,ACTG,Acacia Research Corporation,202.59M,N/A,Miscellaneous,Multi-Sector Companies
NASDAQ,ACHC,Acadia Healthcare Company Inc.,3.73B,N/A,Health Care,Medical Specialities
NASDAQ,ACAD,ACADIA Pharmaceuticals Inc.,2.12B,1985,Health Care,Major Pharmaceuticals
NASDAQ,ACST,Acasti Pharma Inc.,28.39M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AXDX,Accelerate Diagnostics Inc.,1.13B,N/A,Capital Goods,Biotechnology: Laboratory Analytical Instruments
NASDAQ,XLRN,Acceleron Pharma Inc.,1.66B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ANCX,Access National Corporation,593.3M,N/A,Finance,Savings Institutions
NASDAQ,ARAY,Accuray Incorporated,432.47M,2007,Health Care,Medical/Dental Instruments
NASDAQ,ACRX,AcelRx Pharmaceuticals Inc.,161.66M,2011,Health Care,Major Pharmaceuticals
NASDAQ,ACER,Acer Therapeutics Inc.,140.95M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ACET,Aceto Corporation,92.06M,N/A,Health Care,Other Pharmaceuticals
NASDAQ,AKAO,Achaogen Inc.,529.04M,2014,Health Care,Major Pharmaceuticals
NASDAQ,ACHV,Achieve Life Sciences Inc. ,N/A,N/A,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NASDAQ,ACHN,Achillion Pharmaceuticals Inc.,509.09M,2006,Health Care,Major Pharmaceuticals
NASDAQ,ACIW,ACI Worldwide Inc.,2.78B,N/A,Technology,Computer Software: Prepackaged Software
NASDAQ,ACRS,Aclaris Therapeutics Inc.,590.3M,2015,Health Care,Major Pharmaceuticals
NASDAQ,ACMR,ACM Research Inc.,174.24M,2017,Technology,Industrial Machinery/Components
NASDAQ,ACNB,ACNB Corporation,221.94M,N/A,Finance,Major Banks
NASDAQ,ACOR,Acorda Therapeutics Inc.,1.09B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,SQZZ,Active Alts Contrarian ETF,639423,N/A,N/A,N/A
NASDAQ,ATVI,Activision Blizzard Inc.,54.6B,N/A,Technology,Computer Software: Prepackaged Software
NASDAQ,ACXM,Acxiom Corporation,2.21B,N/A,Technology,EDP Services
NASDAQ,ADMS,Adamas Pharmaceuticals Inc.,791.39M,2014,Health Care,Major Pharmaceuticals
NASDAQ,ADMP,Adamis Pharmaceuticals Corporation,148.58M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ADAP,Adaptimmune Therapeutics plc,1.24B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ADUS,Addus HomeCare Corporation,638.4M,2009,Health Care,Medical/Nursing Services
NASDAQ,AEY,ADDvantage Technologies Group Inc.,13.59M,N/A,Consumer Services,Office Equipment/Supplies/Services
NASDAQ,IOTS,Adesto Technologies Corporation,187.73M,2015,Technology,Semiconductors
NASDAQ,ADMA,ADMA Biologics Inc,192.44M,N/A,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ADBE,Adobe Systems Incorporated,120.12B,1986,Technology,Computer Software: Prepackaged Software
NASDAQ,ADOM,ADOMANI Inc.,88.95M,2017,Capital Goods,Auto Parts:O.E.M.
NASDAQ,ADTN,ADTRAN Inc.,713.92M,1994,Public Utilities,Telecommunications Equipment
NASDAQ,ADRO,Aduro Biotech Inc.,641.65M,2015,Health Care,Major Pharmaceuticals
NASDAQ,ADES,Advanced Emissions Solutions Inc.,232.74M,N/A,Basic Industries,Major Chemicals
NASDAQ,AEIS,Advanced Energy Industries Inc.,2.58B,1995,Capital Goods,Industrial Machinery/Components
NASDAQ,AMD,Advanced Micro Devices Inc.,12.7B,N/A,Technology,Semiconductors
NASDAQ,ADXS,Advaxis Inc.,95.73M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ADXSW,Advaxis Inc.,N/A,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ADVM,Adverum Biotechnologies Inc.,381.42M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ACT,AdvisorShares Vice ETF,12.61M,N/A,N/A,N/A
NASDAQ,AEGN,Aegion Corp,844.34M,N/A,Basic Industries,Water Supply
NASDAQ,AGLE,Aeglea BioTherapeutics Inc.,216.4M,2016,Health Care,Major Pharmaceuticals
NASDAQ,AEHR,Aehr Test Systems,52.93M,1997,Capital Goods,Electrical Products
NASDAQ,AMTX,Aemetis Inc.,34.56M,N/A,Basic Industries,Major Chemicals
NASDAQ,AERI,Aerie Pharmaceuticals Inc.,2.02B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AVAV,AeroVironment Inc.,1.35B,2007,Capital Goods,Aerospace
NASDAQ,AEZS,AEterna Zentaris Inc.,31.9M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AEMD,Aethlon Medical Inc.,21.04M,N/A,Capital Goods,Biotechnology: Laboratory Analytical Instruments
NASDAQ,GNMX,Aevi Genomic Medicine Inc.,94.94M,N/A,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AFMD,Affimed N.V.,152.86M,2014,Health Care,Major Pharmaceuticals
NASDAQ,AGEN,Agenus Inc.,361.92M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AGRX,Agile Therapeutics Inc.,21.06M,2014,Health Care,Major Pharmaceuticals
NASDAQ,AGYS,Agilysys Inc.,297.24M,N/A,Technology,EDP Services
NASDAQ,AGIO,Agios Pharmaceuticals Inc.,5.12B,2013,Health Care,Major Pharmaceuticals
NASDAQ,AGMH,AGM Group Holdings Inc.,195.26M,2018,Technology,EDP Services
NASDAQ,AGNC,AGNC Investment Corp.,7.51B,2008,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGNCB,AGNC Investment Corp.,8.92B,N/A,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGNCN,AGNC Investment Corp.,N/A,N/A,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGFS,AgroFresh Solutions Inc.,353.52M,2014,Finance,Business Services
NASDAQ,AGFSW,AgroFresh Solutions Inc.,N/A,2014,Finance,Business Services
NASDAQ,ALRN,Aileron Therapeutics Inc.,73.83M,2017,Health Care,Major Pharmaceuticals
NASDAQ,AIMT,Aimmune Therapeutics Inc.,1.9B,2015,Health Care,Major Pharmaceuticals
NASDAQ,AIRT,Air T Inc.,66.9M,N/A,Transportation,Air Freight/Delivery Services
NASDAQ,ATSG,Air Transport Services Group Inc.,1.23B,N/A,Transportation,Air Freight/Delivery Services
NASDAQ,AIRG,Airgain Inc.,81.42M,2016,Technology,Radio And Television Broadcasting And Communications Equipment
NASDAQ,AMCN,AirMedia Group Inc,42.09M,2007,Technology,Advertising
NASDAQ,AKAM,Akamai Technologies Inc.,13.14B,1999,Miscellaneous,Business Services
NASDAQ,AKTX,Akari Therapeutics Plc,28.07M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AKCA,Akcea Therapeutics Inc.,1.93B,2017,Health Care,Major Pharmaceuticals
NASDAQ,AKBA,Akebia Therapeutics Inc.,587.6M,2014,Health Care,Major Pharmaceuticals
NASDAQ,AKER,Akers Biosciences Inc,48.63M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NASDAQ,AKRX,Akorn Inc.,1.71B,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AKTS,Akoustis Technologies Inc.,146.07M,N/A,Public Utilities,Telecommunications Equipment
NASDAQ,ALRM,Alarm.com Holdings Inc.,2.03B,2015,Technology,Computer Software: Prepackaged Software
NASDAQ,ALSK,Alaska Communications Systems Group Inc.,90.82M,1999,Public Utilities,Telecommunications Equipment
NASDAQ,ALBO,Albireo Pharma Inc.,394.56M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ABDC,Alcentra Capital Corp.,91.46M,N/A,N/A,N/A
NASDAQ,ALDR,Alder BioPharmaceuticals Inc.,1.05B,2014,Health Care,Major Pharmaceuticals
NASDAQ,ALDX,Aldeyra Therapeutics Inc.,174.95M,2014,Health Care,Major Pharmaceuticals
NASDAQ,ALXN,Alexion Pharmaceuticals Inc.,26.28B,1996,Health Care,Major Pharmaceuticals
NASDAQ,ALCO,Alico Inc.,248.05M,N/A,Consumer Non-Durables,Farming/Seeds/Milling
NASDAQ,ALGN,Align Technology Inc.,24.7B,2001,Health Care,Industrial Specialties
NASDAQ,ALIM,Alimera Sciences Inc.,52.53M,2010,Health Care,Major Pharmaceuticals
NASDAQ,ALJJ,ALJ Regional Holdings Inc.,69.02M,N/A,Miscellaneous,Business Services
NASDAQ,ALKS,Alkermes plc,7.08B,1991,Health Care,Major Pharmaceuticals
NASDAQ,ABTX,Allegiance Bancshares Inc.,569.01M,2015,Finance,Major Banks
NASDAQ,ALGT,Allegiant Travel Company,2.43B,2006,Transportation,Air Freight/Delivery Services
NASDAQ,ALNA,Allena Pharmaceuticals Inc.,315.4M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AHGP,Alliance Holdings GP,1.63B,2006,Energy,Coal Mining
NASDAQ,AMMA,Alliance MMA Inc.,6.54M,2016,Consumer Services,Services-Misc. Amusement & Recreation
NASDAQ,ARLP,Alliance Resource Partners,2.45B,1999,Energy,Coal Mining
NASDAQ,AHPI,Allied Healthcare Products Inc.,10.19M,1992,Health Care,Industrial Specialties
NASDAQ,AMOT,Allied Motion Technologies Inc.,446.21M,N/A,Capital Goods,Electrical Products
NASDAQ,ALQA,Alliqua BioMedical Inc.,10.56M,N/A,Health Care,Medical/Dental Instruments
NASDAQ,ALLT,Allot Communications Ltd.,180.37M,2006,Technology,Computer Communications Equipment
NASDAQ,MDRX,Allscripts Healthcare Solutions Inc.,2.24B,N/A,Technology,EDP Services
NASDAQ,ALNY,Alnylam Pharmaceuticals Inc.,9.86B,2004,Health Care,Major Pharmaceuticals
NASDAQ,AOSL,Alpha and Omega Semiconductor Limited,366.56M,2010,Technology,Semiconductors
NASDAQ,GOOG,Alphabet Inc.,749.89B,2004,Technology,Computer Software: Programming & Data Processing
NASDAQ,GOOGL,Alphabet Inc.,754.44B,N/A,Technology,Computer Software: Programming & Data Processing
NASDAQ,SMCP,AlphaMark Actively Managed Small Cap ETF,28.82M,N/A,N/A,N/A
NASDAQ,ATEC,Alphatec Holdings Inc.,106.57M,2006,Health Care,Medical/Dental Instruments
NASDAQ,ALPN,Alpine Immune Sciences Inc.,129.08M,2015,Health Care,Major Pharmaceuticals
NASDAQ,SWIN,ALPS/Dorsey Wright Sector Momentum ETF,10.97M,N/A,N/A,N/A
NASDAQ,AMR,Alta Mesa Resources Inc.,3.02B,2017,Finance,Business Services
NASDAQ,AMRWW,Alta Mesa Resources Inc.,N/A,2017,Finance,Business Services
NASDAQ,AABA,Altaba Inc.,61.98B,N/A,Technology,EDP Services
NASDAQ,ALTR,Altair Engineering Inc.,2.25B,2017,Technology,Computer Software: Prepackaged Software
NASDAQ,ALT,Altimmune Inc.,14.28M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ASPS,Altisource Portfolio Solutions S.A.,478.46M,N/A,Consumer Services,Other Consumer Services
NASDAQ,AIMC,Altra Industrial Motion Corp.,1.27B,2006,Capital Goods,Industrial Machinery/Components
NASDAQ,AMAG,AMAG Pharmaceuticals Inc.,792.95M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AMRN,Amarin Corporation plc,880.75M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AMRK,A-Mark Precious Metals Inc.,92.96M,N/A,Basic Industries,Other Specialty Stores
NASDAQ,AMZN,Amazon.com Inc.,776.89B,1997,Consumer Services,Catalog/Specialty Distribution
NASDAQ,AMBC,Ambac Financial Group Inc.,848.62M,N/A,Finance,Property-Casualty Insurers
NASDAQ,AMBCW,Ambac Financial Group Inc.,N/A,N/A,Finance,Property-Casualty Insurers
NASDAQ,AMBA,Ambarella Inc.,1.7B,2012,Technology,Semiconductors
NASDAQ,AMCX,AMC Networks Inc.,3.3B,N/A,Consumer Services,Television Services
NASDAQ,DOX,Amdocs Limited,9.46B,N/A,Technology,EDP Services
NASDAQ,AMDA,Amedica Corporation,4.94M,2014,Health Care,Medical/Dental Instruments
NASDAQ,AMED,Amedisys Inc,2.52B,N/A,Health Care,Medical/Nursing Services
NASDAQ,UHAL,Amerco,6.96B,N/A,Consumer Services,Rental/Leasing Companies
NASDAQ,AMRH,Ameri Holdings Inc.,17.83M,N/A,Technology,Semiconductors
NASDAQ,AMRHW,Ameri Holdings Inc.,N/A,N/A,Technology,Semiconductors
NASDAQ,ATAX,America First Multifamily Investors,383.88M,N/A,Finance,Finance: Consumer Services
NASDAQ,AMOV,America Movil S.A.B. de C.V.,54.37B,N/A,Public Utilities,Telecommunications Equipment
NASDAQ,AAL,American Airlines Group Inc.,20.04B,N/A,Transportation,Air Freight/Delivery Services
NASDAQ,ACSF,American Capital Senior Floating Ltd.,123.5M,2014,N/A,N/A
NASDAQ,AETI,American Electric Technologies Inc.,7.94M,N/A,Energy,Industrial Machinery/Components
NASDAQ,AMNB,American National Bankshares Inc.,342.3M,N/A,Finance,Major Banks
NASDAQ,ANAT,American National Insurance Company,3.24B,N/A,Finance,Life Insurance
NASDAQ,AOBC,American Outdoor Brands Corporation,644.96M,N/A,Capital Goods,Ordnance And Accessories
NASDAQ,APEI,American Public Education Inc.,655.97M,2007,Consumer Services,Other Consumer Services
NASDAQ,ARII,American Railcar Industries Inc.,773.85M,2006,Capital Goods,Railroads
NASDAQ,AMRB,American River Bankshares,91.8M,N/A,Finance,Major Banks
NASDAQ,AMSWA,American Software Inc.,414.14M,N/A,Technology,Computer Software: Prepackaged Software
NASDAQ,AMSC,American Superconductor Corporation,142.79M,1991,Consumer Durables,Metal Fabrications
NASDAQ,AMWD,American Woodmark Corporation,1.49B,1986,Basic Industries,Forest Products
NASDAQ,CRMT,America&#39;s Car-Mart Inc.,439.03M,N/A,Consumer Durables,Automotive Aftermarket
NASDAQ,ABCB,Ameris Bancorp,2.16B,1994,Finance,Major Banks
NASDAQ,AMSF,AMERISAFE Inc.,1.16B,2005,Finance,Property-Casualty Insurers
NASDAQ,ASRV,AmeriServ Financial Inc.,77.54M,N/A,Finance,Major Banks
NASDAQ,ASRVP,AmeriServ Financial Inc.,N/A,N/A,Finance,Major Banks
NASDAQ,ATLO,Ames National Corporation,280.26M,N/A,Finance,Major Banks
NASDAQ,AMGN,Amgen Inc.,119.06B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,FOLD,Amicus Therapeutics Inc.,2.86B,2007,Health Care,Major Pharmaceuticals
NASDAQ,AMKR,Amkor Technology Inc.,2.11B,1998,Technology,Semiconductors
NASDAQ,AMPH,Amphastar Pharmaceuticals Inc.,773.33M,2014,Health Care,Major Pharmaceuticals
NASDAQ,IBUY,Amplify Online Retail ETF,356.09M,N/A,N/A,N/A
NASDAQ,ASYS,Amtech Systems Inc.,135.11M,N/A,Technology,Industrial Machinery/Components
NASDAQ,AFSI,AmTrust Financial Services Inc.,2.7B,N/A,Finance,Property-Casualty Insurers
NASDAQ,AMRS,Amyris Inc.,260.92M,2010,Basic Industries,Major Chemicals
NASDAQ,ADI,Analog Devices Inc.,34.91B,N/A,Technology,Semiconductors
NASDAQ,ALOG,Analogic Corporation,1.05B,1972,Capital Goods,Electrical Products
NASDAQ,ANAB,AnaptysBio Inc.,1.93B,2017,Health Care,Major Pharmaceuticals
NASDAQ,AVXL,Anavex Life Sciences Corp.,119.24M,N/A,Health Care,Biotechnology: Commercial Physical & Biological Resarch
NASDAQ,ANCB,Anchor Bancorp,63.22M,2011,Finance,Banks
NASDAQ,ANGI,ANGI Homeservices Inc.,7.31B,N/A,Consumer Services,Advertising
NASDAQ,ANGO,AngioDynamics Inc.,749.71M,2004,Health Care,Medical/Dental Instruments
NASDAQ,ANIP,ANI Pharmaceuticals Inc.,735.09M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ANIK,Anika Therapeutics Inc.,582.43M,N/A,Health Care,Medical/Dental Instruments
NASDAQ,ANSS,ANSYS Inc.,13.79B,1996,Technology,Computer Software: Prepackaged Software
NASDAQ,ATRS,Antares Pharma Inc.,395.2M,N/A,Health Care,Medical/Dental Instruments
NASDAQ,ANTH,Anthera Pharmaceuticals Inc.,7.09M,2010,Health Care,Major Pharmaceuticals
NASDAQ,APLS,Apellis Pharmaceuticals Inc.,1.1B,2017,Health Care,Major Pharmaceuticals
NASDAQ,APOG,Apogee Enterprises Inc.,1.21B,N/A,Capital Goods,Auto Parts:O.E.M.
NASDAQ,APEN,Apollo Endosurgery Inc.,118.36M,N/A,Health Care,Medical/Dental Instruments
NASDAQ,AINV,Apollo Investment Corporation,1.24B,2004,N/A,N/A
NASDAQ,AMEH,Apollo Medical Holdings Inc.,487.01M,N/A,Consumer Services,Professional Services
NASDAQ,APPF,AppFolio Inc.,1.88B,2015,Technology,Computer Software: Prepackaged Software
NASDAQ,APPN,Appian Corporation,1.86B,2017,Technology,Computer Software: Prepackaged Software
NASDAQ,AAPL,Apple Inc.,925.82B,1980,Technology,Computer Manufacturing
NASDAQ,ARCI,Appliance Recycling Centers of America Inc.,5.61M,N/A,Consumer Services,Home Furnishings
NASDAQ,APDN,Applied DNA Sciences Inc,45.24M,N/A,Consumer Services,Other Consumer Services
NASDAQ,APDNW,Applied DNA Sciences Inc,N/A,N/A,Consumer Services,Other Consumer Services
NASDAQ,AGTC,Applied Genetic Technologies Corporation,95.08M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AMAT,Applied Materials Inc.,52.89B,1972,Technology,Semiconductors
NASDAQ,AAOI,Applied Optoelectronics Inc.,659.23M,2013,Technology,Semiconductors
NASDAQ,AREX,Approach Resources Inc.,284.83M,2007,Energy,Oil & Gas Production
NASDAQ,APTI,Apptio Inc.,1.38B,2016,Technology,Computer Software: Prepackaged Software
NASDAQ,APRI,Apricus Biosciences Inc.,6.81M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,APVO,Aptevo Therapeutics Inc.,125.13M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,APTO,Aptose Biosciences Inc.,106.65M,N/A,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AQMS,Aqua Metals Inc.,103.87M,2015,Basic Industries,Metal Fabrications
NASDAQ,AQB,AquaBounty Technologies Inc.,37.84M,N/A,N/A,N/A
NASDAQ,AQXP,Aquinox Pharmaceuticals Inc.,299.02M,2014,Health Care,Major Pharmaceuticals
NASDAQ,ARDM,Aradigm Corporation,20.38M,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NASDAQ,ARLZ,Aralez Pharmaceuticals Inc.,27.06M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,PETX,Aratana Therapeutics Inc.,256.71M,2013,Health Care,Major Pharmaceuticals
NASDAQ,ABUS,Arbutus Biopharma Corporation,325.49M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ARCW,ARC Group Worldwide Inc.,57.1M,N/A,Capital Goods,Metal Fabrications
NASDAQ,ABIO,ARCA biopharma Inc.,9.08M,N/A,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NASDAQ,RKDA,Arcadia Biosciences Inc.,35M,2015,Basic Industries,Agricultural Chemicals
NASDAQ,ARCB,ArcBest Corporation,1.21B,N/A,Transportation,Trucking Freight/Courier Services
NASDAQ,ACGL,Arch Capital Group Ltd.,10.69B,N/A,Finance,Property-Casualty Insurers
NASDAQ,ACGLO,Arch Capital Group Ltd.,N/A,N/A,Finance,Property-Casualty Insurers
NASDAQ,ACGLP,Arch Capital Group Ltd.,N/A,N/A,Finance,Property-Casualty Insurers
NASDAQ,FUV,Arcimoto Inc.,51.58M,2017,Consumer Non-Durables,Motor Vehicles
NASDAQ,ARCT,Arcturus Therapeutics Ltd.,69.07M,2013,N/A,N/A
NASDAQ,ARDX,Ardelyx Inc.,185.65M,2014,Health Care,Major Pharmaceuticals
NASDAQ,ARNA,Arena Pharmaceuticals Inc.,2.28B,2000,Health Care,Major Pharmaceuticals
NASDAQ,ARCC,Ares Capital Corporation,7.14B,2004,N/A,N/A
NASDAQ,ARGX,argenx SE,3.06B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ARKR,Ark Restaurants Corp.,92.03M,N/A,Consumer Services,Restaurants
NASDAQ,ARMO,ARMO BioSciences Inc.,1.52B,2018,Health Care,Major Pharmaceuticals
NASDAQ,ARTX,Arotech Corporation,100.7M,1994,Miscellaneous,Industrial Machinery/Components
NASDAQ,ARQL,ArQule Inc.,376.82M,1996,Health Care,Major Pharmaceuticals
NASDAQ,ARRY,Array BioPharma Inc.,3.32B,2000,Health Care,Major Pharmaceuticals
NASDAQ,ARRS,ARRIS International plc,4.79B,N/A,Technology,Radio And Television Broadcasting And Communications Equipment
NASDAQ,DWCR,Arrow DWA Country Rotation ETF,14.85M,N/A,N/A,N/A
NASDAQ,DWAT,Arrow DWA Tactical ETF,7.22M,N/A,N/A,N/A
NASDAQ,AROW,Arrow Financial Corporation,527.34M,N/A,Finance,Major Banks
NASDAQ,ARWR,Arrowhead Pharmaceuticals Inc.,855.19M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ASNS,Arsanis Inc.,235.43M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ARTNA,Artesian Resources Corporation,352.69M,N/A,Public Utilities,Water Supply
NASDAQ,ARTW,Art&#39;s-Way Manufacturing Co. Inc.,11.91M,N/A,Capital Goods,Industrial Machinery/Components
NASDAQ,ASNA,Ascena Retail Group Inc.,602.32M,N/A,Consumer Services,Clothing/Shoe/Accessory Stores
NASDAQ,ASND,Ascendis Pharma A/S,2.78B,2015,Health Care,Major Pharmaceuticals
NASDAQ,ASCMA,Ascent Capital Group Inc.,27.4M,N/A,Consumer Services,Other Consumer Services
NASDAQ,APWC,Asia Pacific Wire & Cable Corporation Limited,33.86M,N/A,Basic Industries,Telecommunications Equipment
NASDAQ,ASLN,ASLAN Pharmaceuticals Limited,159.8M,2018,Health Care,Major Pharmaceuticals
NASDAQ,ASML,ASML Holding N.V.,85.5B,1995,Technology,Industrial Machinery/Components
NASDAQ,ASPU,Aspen Group Inc.,145.88M,N/A,Consumer Services,Other Consumer Services
NASDAQ,AZPN,Aspen Technology Inc.,6.8B,1994,Technology,EDP Services
NASDAQ,ASMB,Assembly Biosciences Inc.,851.42M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ASFI,Asta Funding Inc.,22.85M,1995,Finance,Finance Companies
NASDAQ,ASTE,Astec Industries Inc.,1.34B,1986,Capital Goods,ConstructioN/Ag Equipment/Trucks
NASDAQ,ATRO,Astronics Corporation,994.73M,N/A,Capital Goods,Military/Government/Technical
NASDAQ,ALOT,AstroNova Inc.,134.11M,1983,Technology,Computer peripheral equipment
NASDAQ,ASTC,Astrotech Corporation,7.9M,N/A,Capital Goods,Military/Government/Technical
NASDAQ,ASUR,Asure Software Inc,209.81M,N/A,Technology,EDP Services
NASDAQ,ASV,ASV Holdings Inc.,66.79M,2017,Capital Goods,ConstructioN/Ag Equipment/Trucks
NASDAQ,ATAI,ATA Inc.,124.8M,2008,Consumer Services,Other Consumer Services
NASDAQ,ATRA,Atara Biotherapeutics Inc.,2.18B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ATHN,athenahealth Inc.,6.2B,2007,Miscellaneous,Business Services
NASDAQ,ATNX,Athenex Inc.,1.07B,2017,Health Care,Major Pharmaceuticals
NASDAQ,ATHX,Athersys Inc.,325.58M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ATAC,Atlantic Acquisition Corp.,20.1M,2017,Consumer Non-Durables,Food Distributors
NASDAQ,ATACR,Atlantic Acquisition Corp.,N/A,2017,Consumer Non-Durables,Food Distributors
NASDAQ,ATACU,Atlantic Acquisition Corp.,N/A,2017,Consumer Non-Durables,Food Distributors
NASDAQ,AAME,Atlantic American Corporation,55.73M,N/A,Finance,Life Insurance
NASDAQ,ACBI,Atlantic Capital Bancshares Inc.,542.88M,N/A,Finance,Major Banks
NASDAQ,ACFC,Atlantic Coast Financial Corporation,169.68M,N/A,Finance,Savings Institutions
NASDAQ,AY,Atlantica Yield plc,1.95B,2014,Public Utilities,Electric Utilities: Central
NASDAQ,ATLC,Atlanticus Holdings Corporation,28.7M,1995,Finance,Finance: Consumer Services
NASDAQ,AAWW,Atlas Air Worldwide Holdings,1.74B,N/A,Transportation,Transportation Services
NASDAQ,AFH,Atlas Financial Holdings Inc.,125.34M,2013,Finance,Property-Casualty Insurers
NASDAQ,AFHBL,Atlas Financial Holdings Inc.,N/A,N/A,Finance,Property-Casualty Insurers
NASDAQ,TEAM,Atlassian Corporation Plc,14.72B,2015,Technology,Computer Software: Prepackaged Software
NASDAQ,ATNI,ATN International Inc.,840.28M,N/A,Public Utilities,Telecommunications Equipment
NASDAQ,ATOM,Atomera Incorporated,72.56M,2016,Technology,Semiconductors
NASDAQ,ATOS,Atossa Genetics Inc.,8.86M,2012,Health Care,Major Pharmaceuticals
NASDAQ,ATRC,AtriCure Inc.,843.06M,2005,Health Care,Medical/Dental Instruments
NASDAQ,ATRI,Atrion Corporation,1.08B,N/A,Health Care,Medical/Dental Instruments
